Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,Condition,Dag,tx,Weight,Lactation,Visit,Date,FEC,TFEC,month,Plant,farm,time,temp,hum,tx2,FECp,Intervention
MKWINDA,Drug,141m,4,F,1,0,3,1,0,Drug,28.6,NotLactating,4,15/04/2020,650,700,April,,D17,43,25.756625,63.88775,drugdr,650,Pre
MKWINDA,Drug,141m,4,F,1,0,4,1,0,Drug,31.3,NotLactating,5,29/04/2020,2050,2050,April,,D17,57,,,drugdr,2050,Pre
MKWINDA,Drug,17TD6,4,F,1,0,3,2,0,Drug,34.2,Lactating,18,30/09/2020,100,,September,,D12,239,,,drugdr,100,Pre
MKWINDA,Drug,24TD1,3,F,1,0,2,2.5,0,Drug,32.6,Pregnant,25,06/01/2021,550,,January,,D11,337,,,drugdr,550,Pre
MKWINDA,Drug,24TD1,3,F,1,0,2,2.5,0,Drug,35.4,Pregnant,26,20/01/2021,50,,January,,D11,351,,,drugdr,50,Pre
MAZINGA,Plant,6,4.5,F,1,0,2,2,0,Drug,28.6,NotLactating,18,24/09/2020,0,,September,mtawa,P2,238,,,drugpl,0,Post
MAZINGA,Plant,7,5.5,F,0,0,2,2,4,Drug,40.8,Lactating,21,05/11/2020,,,November,mtawa,P2,280,,,drugpl,50,Post
MAZINGA,Plant,18,2,F,0,0,2,1.5,0,Drug,23.1,Pregnant,22,19/11/2020,12700,,November,mtawa,P4,294,,,drugpl,0,Post
MAZINGA,Plant,19,4,F,0,0,2,2.5,4,Drug,34.2,NotLactating,10,04/06/2020,,.,June,mtawa,P4,126,,,drugpl,0,Post
MAZINGA,Plant,20,5.5,F,1,0,5,1,5,Drug,28.6,NotLactating,1,30/01/2020,,.,January,mtawa,P4,0,,,drugpl,0,Post
MAZINGA,Plant,26,1.5,F,0,0,4,1.5,0,Drug,27.2,Lactating,5,26/03/2020,2250,.,March,mtawa,P5,56,25.37033333,71.68988148,drugpl,0,Post
CHINKHOWE,Plant,51,4.5,F,1,0,4,1.5,0,Drug,32.6,Lactating,1,05/02/2020,2050,2050,February,gmelina,P15,0,24.28608333,76.60954167,drugpl,100,Post
CHINKHOWE,Plant,63,3,F,0,0,2,2,4,Drug,28.6,NotLactating,24,24/12/2020,,,December,gmelina,P17,323,,,drugpl,0,Post
CHINKHOWE,Plant,72,4,F,0,0,4,2,0,Drug,32.6,Lactating,2,19/02/2020,16800,17000,February,gmelina,P18,14,23.53566667,83.30116667,drugpl,100,Post
CHINKHOWE,Plant,74,1,F,0,0,4,2,0,Drug,23.1,NotLactating,1,05/02/2020,650,650,February,gmelina,P18,0,24.28608333,76.60954167,drugpl,0,Post
CHINKHOWE,Plant,75,4,F,0,0,4,2,0,Drug,34.2,Lactating,1,05/02/2020,5200,5200,February,gmelina,P18,0,24.28608333,76.60954167,drugpl,50,Post
CHINKHOWE,Plant,80,4,F,0,0,3,1,0,Drug,32.6,Lactating,3,04/03/2020,,.,March,kakhobo,P19,28,21.00747024,85.50233333,drugpl,0,Post
CHINKHOWE,Plant,81,3,F,0,0,2,1.5,4,Drug,34.2,Lactating,20,29/10/2020,400,,October,kakhobo,P19,267,23.56871233,60.64869863,drugpl,50,Post
