Location,TST,Tag,Age,Sex,Nasal,Jaw,FAMACHA,BCS,Dag,Status1,Weight,Lactation,Visit,Date,FEC,TFEC,month,plant,farm,tx2,month2,Time,Status,plantx,plantreal,season,plantx2,plantx3
MAZINGA,Plant,30,4,F,0,0,4,1.5,0,Sick,27.2,Lactating,27,25/02/2021,2050,,February,Commiphora africana,P6,drugpl,2,364,2,6,6,Rainy,4+,4+
MAZINGA,Plant,31,4,F,0,0,3,1.5,0,Borderline,29.9,Lactating,27,25/02/2021,3050,,February,Commiphora africana,P6,plantpl,2,364,1,11,11,Rainy,4+,4+
MAZINGA,Plant,32,1,F,0,0,2,2,0,Healthy,23.1,Lactating,27,25/02/2021,950,,February,Ficus ingens,P6,nonepl,2,364,1,3,3,Rainy,3,3
MAZINGA,Plant,35,3,F,0,0,2,2,0,Healthy,36.7,Lactating,27,25/02/2021,100,,February,Ficus ingens,P7,nonepl,2,364,1,2,2,Rainy,2,2
MAZINGA,Plant,36,4,F,0,0,2,2,0,Healthy,31.3,Pregnant,25,11/02/2021,,,February,Ficus ingens,P7,,1,336,1,5,5,Rainy,4+,4+
MAZINGA,Plant,37,1,F,0,0,2,2,0,Healthy,34.2,Pregnant,27,25/02/2021,550,,February,Ficus ingens,P7,nonepl,2,364,1,0,0,Rainy,0,0
MAZINGA,Plant,38,1.5,F,0,0,2,2.5,0,Healthy,27.2,Lactating,7,04/06/2020,,.,June,Ficus ingens,P7,,5,84,1,1,1,Dry,1,1
MAZINGA,Plant,41,4.5,F,0,0,2,2,0,Healthy,34.2,Lactating,22,25/02/2021,,,February,Commiphora africana,P9,nonepl,2,294,1,2,2,Rainy,2,2
MAZINGA,Plant,42,4,F,0,0,2,2,0,Healthy,29.9,Lactating,22,25/02/2021,900,,February,Commiphora africana,P9,nonepl,2,294,1,1,1,Rainy,1,1
MAZINGA,Plant,43,4,F,0,0,2,2,0,Healthy,25.9,Lactating,22,25/02/2021,,,February,Commiphora africana,P9,nonepl,2,294,1,6,6,Rainy,4+,4+
MAZINGA,Plant,44,2,F,0,0,2,2,0,Healthy,25.9,Lactating,22,25/02/2021,1300,,February,Commiphora africana,P9,nonepl,2,294,1,0,0,Rainy,0,0
MAZINGA,Plant,45,1,F,0,0,2,2,0,Healthy,44,Pregnant,14,19/11/2020,,,November,Ficus ingens,P8,,11,182,1,0,0,Rainy,0,0
MAZINGA,Plant,46,4.5,F,0,0,2,1.5,0,Healthy,32.6,Lactating,20,25/02/2021,,,February,Ficus ingens,P8,,1,266,1,1,1,Rainy,1,1
MAZINGA,Plant,47,4.5,F,0,0,3,2.5,0,Healthy,40.8,Lactating,17,31/12/2020,,,December,Ficus ingens,P8,,12,224,1,0,0,Rainy,0,0
MAZINGA,Plant,48,1,F,0,0,2,2,0,Healthy,23.1,Lactating,7,25/02/2021,500,,February,Ficus ingens,P8,nonepl,2,84,1,2,2,Rainy,2,2
CHINKHOWE,Plant,50,3,F,0,0,2,2,0,Healthy,34.2,NotLactating,29,04/03/2021,1950,,March,Gmelina arborea,P15,nonepl,3,393,1,0,0,Rainy,0,0
CHINKHOWE,Plant,51,4.5,F,1,0,4,1.5,0,Sick,32.6,Lactating,1,04/03/2021,2350,,March,Gmelina arborea,P15,nonepl,3,1,2,0,0,Rainy,0,0
CHINKHOWE,Plant,52,3,F,0,0,2,2.5,0,Healthy,34.2,NotLactating,11,23/07/2020,,,July,Gmelina arborea,P15,,6,141,1,2,2,Dry,2,2
CHINKHOWE,Plant,53,4,F,0,0,2,2,0,Healthy,32.6,Lactating,29,04/03/2021,300,,March,Gmelina arborea,P15,nonepl,3,393,1,2,2,Rainy,2,2
CHINKHOWE,Plant,54,1,F,0,0,2,2,0,Healthy,24.5,NotLactating,10,04/03/2021,,,March,Gmelina arborea,P15,nonepl,3,126,1,0,0,Rainy,0,0
CHINKHOWE,Plant,57,2,F,0,0,2,2,0,Healthy,34.2,Lactating,29,04/03/2021,900,,March,Ficus ingens,P16,nonepl,3,393,1,0,0,Rainy,0,0
CHINKHOWE,Plant,58,1,F,0,0,2,3,0,Healthy,25.9,NotLactating,10,25/06/2020,,.,June,Ficus ingens,P16,,6,127,1,1,1,Dry,1,1
CHINKHOWE,Plant,59,3,F,0,0,2,2,0,Healthy,23.1,Lactating,29,04/03/2021,350,,March,Ficus ingens,P16,nonepl,3,393,1,2,2,Rainy,2,2
CHINKHOWE,Plant,60,1,F,0,0,2,2,0,Healthy,19.1,NotLactating,15,04/03/2021,300,,March,Ficus ingens,P16,nonepl,3,196,1,0,0,Rainy,0,0
CHINKHOWE,Plant,61,1,F,0,0,2,2,0,Healthy,20.4,NotLactating,9,04/03/2021,2400,,March,Ficus ingens,P16,nonepl,3,112,1,0,0,Rainy,0,0
CHINKHOWE,Plant,63,3,F,0,0,2,2,4,Sick,28.6,NotLactating,24,04/03/2021,200,,March,Gmelina arborea,P17,nonepl,3,323,2,3,3,Rainy,3,3
CHINKHOWE,Plant,64,1,F,0,0,2,2,0,None,28.6,NotLactating,24,04/03/2021,550,,March,Gmelina arborea,P17,nonepl,3,393,1,1,1,Rainy,1,1
CHINKHOWE,Plant,65,1,F,0,0,3,2,0,Borderline,25.9,Lactating,29,04/03/2021,3000,,March,Gmelina arborea,P17,plantpl,3,393,1,2,2,Rainy,2,2
CHINKHOWE,Plant,66,3,F,0,0,2,2,0,Healthy,32.6,Lactating,27,04/03/2021,,,March,Gmelina arborea,P17,,2,365,1,5,5,Rainy,4+,4+
CHINKHOWE,Plant,67,1,F,0,0,2,2.5,0,Healthy,29.9,NotLactating,29,04/03/2021,,,March,Gmelina arborea,P17,nonepl,3,393,1,0,0,Rainy,0,0
CHINKHOWE,Plant,68,3,F,0,0,2,2,0,Healthy,38.1,NotLactating,29,04/03/2021,6000,,March,Gmelina arborea,P17,nonepl,3,393,1,4,4,Rainy,4+,4+
