Location,TST,Tag,Status,Visit
KAMCHEZERA,Drug,139,Died,14
KAMCHEZERA,Drug,140,Healthy,14
KAMCHEZERA,Drug,141,Healthy,14
MKWINDA,Drug,142,Healthy,14
MKWINDA,Drug,143,Healthy,14
MKWINDA,Drug,150,Sold,14
MKWINDA,Drug,151,End,14
MKWINDA,Drug,152,Healthy,14
MKWINDA,Drug,153,Grazing,14
MKWINDA,Drug,156,End,14
MAZINGA,Plant,200,Borderline,14
MAZINGA,Plant,201,Healthy,14
MAZINGA,Plant,205,Borderline,14
MAZINGA,Plant,206,Sold,14
MAZINGA,Plant,207,Stolen,14
MAZINGA,Plant,210,Healthy,14
MAZINGA,Plant,211,Healthy,14
MAZINGA,Plant,212,Healthy,14
MAZINGA,Plant,213,Borderline,14
MAZINGA,Plant,214,End,14
MAZINGA,Plant,215,End,14
MAZINGA,Plant,217,End,14
MAZINGA,Plant,218,Died,14
MAZINGA,Plant,219,End,14
CHINKHOWE,Plant,300,Healthy,14
CHINKHOWE,Plant,301,Healthy,14
CHINKHOWE,Plant,302,Healthy,14
CHINKHOWE,Plant,303,End,14
CHINKHOWE,Plant,305,End,14
CHINKHOWE,Plant,306,End,14
CHINKHOWE,Plant,602,Died,14
MKWINDA,Drug,10757,Healthy,14
KAMCHEZERA,Drug,26058,Healthy,14
KAMCHEZERA,Drug,26059,Healthy,14
KAMCHEZERA,Drug,26060,End,14
KAMCHEZERA,Drug,26065,Healthy,14
KAMCHEZERA,Drug,26075,Grazing,14
KAMCHEZERA,Drug,26077,Stolen,14
KAMCHEZERA,Drug,26085,End,14
MKWINDA,Drug,26383,Healthy,14
MKWINDA,Drug,26437,Healthy,14
KAMCHEZERA,Drug,26529,Grazing,14
KAMCHEZERA,Drug,26549,Healthy,14
KAMCHEZERA,Drug,26552,Grazing,14
KAMCHEZERA,Drug,26553,Grazing,14
KAMCHEZERA,Drug,26558,End,14
KAMCHEZERA,Drug,26559,End,14
KAMCHEZERA,Drug,26560,End,14
KAMCHEZERA,Drug,26607,End,14
KAMCHEZERA,Drug,26608,End,14
KAMCHEZERA,Drug,26624,End,14
KAMCHEZERA,Drug,26625,End,14
KAMCHEZERA,Drug,26626,End,14
KAMCHEZERA,Drug,26627,End,14
KAMCHEZERA,Drug,26628,Sick,14
KAMCHEZERA,Drug,26629,End,14
KAMCHEZERA,Drug,26630,Healthy,14
KAMCHEZERA,Drug,26631,End,14
KAMCHEZERA,Drug,26632,Sick,14
KAMCHEZERA,Drug,26633,Healthy,14
KAMCHEZERA,Drug,26634,End,14
KAMCHEZERA,Drug,26640,Sold,14
KAMCHEZERA,Drug,26643,Healthy,14
KAMCHEZERA,Drug,26655,Sold,14
MKWINDA,Drug,26909,Healthy,14
MKWINDA,Drug,26910,Healthy,14
MKWINDA,Drug,27049,Died,14
MKWINDA,Drug,27097,Healthy,14
MKWINDA,Drug,27098,Healthy,14
MKWINDA,Drug,27104,Healthy,14
MKWINDA,Drug,27106,Sold,14
MAZINGA,Plant,94713,End,14
MAZINGA,Plant,94714,End,14
KAMCHEZERA,Drug,95225,Healthy,14
KAMCHEZERA,Drug,95341,Healthy,14
KAMCHEZERA,Drug,95463,Healthy,14
KAMCHEZERA,Drug,95508,Sold,14
MAZINGA,Plant,95601,End,14
MAZINGA,Plant,95627,Healthy,14
MAZINGA,Plant,95646,Healthy,14
MAZINGA,Plant,95655,Sold,14
MKWINDA,Drug,95692,Healthy,14
MKWINDA,Drug,97890,Healthy,14
MKWINDA,Drug,97895,Healthy,14
KAMCHEZERA,Drug,97957,Healthy,14
KAMCHEZERA,Drug,98021,End,14
MKWINDA,Drug,98175,Healthy,14
MKWINDA,Drug,98263,Healthy,14
MKWINDA,Drug,98266,Died,14
KAMCHEZERA,Drug,98453,Stolen,14
KAMCHEZERA,Drug,98465,End,14
KAMCHEZERA,Drug,98481,Died,14
MKWINDA,Drug,98580,Healthy,14
KAMCHEZERA,Drug,98880,Died,14
MAZINGA,Plant,98896,End,14
MAZINGA,Plant,98897,End,14
MKWINDA,Drug,99081,Healthy,14
MKWINDA,Drug,99083,Healthy,14
MKWINDA,Drug,99084,Sold,14
MKWINDA,Drug,99316,Healthy,14
KAMCHEZERA,Drug,99340,Healthy,14
KAMCHEZERA,Drug,99380,Healthy,14
KAMCHEZERA,Drug,99455,Healthy,14
MKWINDA,Drug,99514,Healthy,14
MKWINDA,Drug,99515,Healthy,14
MKWINDA,Drug,1400,Healthy,14
MKWINDA,Drug,1410,Healthy,14
MAZINGA,Plant,14000,End,14
MKWINDA,Drug,176,Healthy,14
MKWINDA,Drug,241,Healthy,14
MAZINGA,Plant,940,End,14
MAZINGA,Plant,1,End,15
MAZINGA,Plant,2,End,15
MAZINGA,Plant,3,End,15
MAZINGA,Plant,6,Healthy,15
MAZINGA,Plant,7,Healthy,15
MAZINGA,Plant,8,Died,15
MAZINGA,Plant,9,Died,15
MAZINGA,Plant,12,Healthy,15
MAZINGA,Plant,13,Healthy,15
MAZINGA,Plant,14,Sold,15
MAZINGA,Plant,18,Healthy,15
MAZINGA,Plant,19,Healthy,15
